instruction,input,response
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Klassisk minestronesuppe. Offers: .,High relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Kremet pasta med laks. Offers: .,Low relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Kyllingfilet med soppsaus. Offers: .,Low relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Klassisk risotto. Offers: .,High relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Lammeburger med kantareller og tyttebærkrem. Offers: .,Low relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Lam i pita. Offers: .,Low relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Tradisjonell fårikål. Offers: .,High relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Quinoasalat med gresskar. Offers: .,High relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Hjemmelaget tomatsuppe. Offers: .,High relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Ravioli med sopp. Offers: .,Low relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Enkel lys lapskaus. Offers: .,High relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Enkel grønnsakssuppe. Offers: .,High relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Middagssalat med kikerter og feta. Offers: .,High relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Enkel middelhavspasta med oliven. Offers: .,High relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Tortellini med kylling og pesto. Offers: .,Low relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Grønnsakssuppe med pølse. Offers: .,High relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Baked feta pasta. Offers: .,High relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Blomkålsuppe med kikerter og grønnkål. Offers: .,High relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Asiatisk salat med nudler og mango. Offers: .,High relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Hjemmelaget lasagne. Offers: .,High relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Pitabrød med reinsdyrkjøtt. Offers: .,High relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Blomkålsalat med syrlig dressing. Offers: .,High relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Steinsopprisotto. Offers: .,High relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Fajitas med biffstrimler og bakt løksalat. Offers: .,High relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Klassisk pasta carbonara. Offers: .,High relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Fisk og skalldyrsuppe med safran. Offers: .,Low relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Biffsalat à la Thailand. Offers: .,Low relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Pasta med kyllingkjøttdeig. Offers: .,Low relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Hjemmelaget kebab i pita. Offers: .,Low relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Cobb salat. Offers: .,High relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Røkte kjøttpølser med smørdampede rotgrønnsaker. Offers: .,Low relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Gratinert krabbeskjell. Offers: .,High relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Verdens beste lapskaus. Offers: .,High relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Pasta Bolognese. Offers: .,Low relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Pasta med pesto og ricotta. Offers: .,High relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Kremet sellerirotsuppe med hasselnøttsmør. Offers: .,Low relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Lammeboller i tomatsaus. Offers: .,Low relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Pasta a la vodka. Offers: .,High relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Pizza di Parma. Offers: .,High relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Gratinert nachos med kjøttdeig. Offers: .,High relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Biff stroganoff. Offers: .,Low relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Grov fiskeburger med avokado. Offers: .,Low relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Klassisk kjøttsuppe. Offers: .,High relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Kremet pasta med kylling og bacon. Offers: .,High relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Lammegryte med eple og persillerot. Offers: .,High relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Oksehalesuppe. Offers: .,Low relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Ovnsbakt kylling med rotgrønnsaker og appelsin. Offers: .,High relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Vegetartaco med sopp og bønner. Offers: .,Low relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Hvit pizza med sopp og rødkittost. Offers: .,Low relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Kremet pasta med krabbe. Offers: .,Low relevance
